CHECK_NUM,BOOK_NUM,PAT_ID,CHECK_OUT_DATE,CHECK_DUE_DATE,CHECK_IN_DATE
91001,5235,1165,2017-03-31,2017-04-14,2017-04-09
91002,5238,1209,2017-03-31,2017-04-07,2017-04-05
91003,5240,1160,2017-03-31,2017-04-14,2017-04-09
91004,5237,1160,2017-03-31,2017-04-14,2017-04-03
91005,5236,1202,2017-03-31,2017-04-07,2017-04-08
91006,5235,1203,2017-04-05,2017-04-12,2017-04-13
91007,5244,1174,2017-04-05,2017-04-12,2017-04-08
91008,5248,1181,2017-04-05,2017-04-12,2017-04-06
91009,5242,1170,2017-04-05,2017-04-19,2017-04-09
91010,5235,1161,2017-04-05,2017-04-19,2017-04-05
91011,5236,1181,2017-04-05,2017-04-12,2017-04-11
91012,5249,1181,2017-04-08,2017-04-15,2017-04-12
91013,5240,1160,2017-04-10,2017-04-24,2017-04-19
91014,5236,1204,2017-04-11,2017-04-18,2017-04-19
91015,5237,1204,2017-04-11,2017-04-18,2017-04-13
91016,5236,1183,2017-04-13,2017-04-27,2017-04-14
91017,5240,1184,2017-04-14,2017-04-21,2017-04-22
91018,5236,1170,2017-04-14,2017-04-28,2017-04-14
91019,5246,1171,2017-04-14,2017-04-21,2017-04-17
91020,5254,1185,2017-04-16,2017-04-23,2017-04-23
91021,5238,1185,2017-04-16,2017-04-23,2017-04-21
91022,5252,1171,2017-04-16,2017-04-23,2017-04-19
91023,5249,1207,2017-04-16,2017-04-23,2017-04-19
91024,5235,1209,2017-04-21,2017-04-28,2017-04-29
91025,5246,1172,2017-04-21,2017-04-28,2017-04-27
91026,5254,1161,2017-04-21,2017-05-04,2017-04-26
91027,5243,1161,2017-04-21,2017-05-04,2017-04-26
91028,5236,1183,2017-04-22,2017-05-05,2017-04-30
91029,5244,1203,2017-04-22,2017-04-29,2017-04-26
91030,5242,1207,2017-04-22,2017-04-29,2017-04-30
91031,5252,1165,2017-04-23,2017-05-06,2017-04-30
91032,5238,1172,2017-04-23,2017-04-30,2017-04-26
91033,5235,1174,2017-04-23,2017-04-30,2017-04-23
91034,5240,1185,2017-04-23,2017-04-30,2017-05-01
91035,5248,1165,2017-04-24,2017-05-07,2017-04-25
91036,5237,1202,2017-04-24,2017-04-30,2017-04-28
91037,5235,1210,2017-04-28,2017-05-04,2017-05-01
91038,5238,1215,2017-04-28,2017-05-04,2017-04-30
91039,5240,1222,2017-04-28,2017-05-04,2017-05-06
91040,5237,1228,2017-04-28,2017-05-04,2017-05-05
91041,5236,1211,2017-04-28,2017-05-04,2017-04-30
91042,5235,1220,2017-04-29,2017-05-05,2017-05-05
91043,5244,1226,2017-04-29,2017-05-05,2017-05-07
91044,5248,1219,2017-04-30,2017-05-07,2017-05-08
91045,5242,1210,2017-04-30,2017-05-07,2017-05-04
91046,5235,1225,2017-04-30,2017-05-07,2017-05-03
91047,5236,1218,2017-04-30,2017-05-07,2017-05-07
91048,5249,1229,2017-05-04,2017-05-11,2017-05-06
91049,5240,1214,2017-05-04,2017-05-11,2017-05-04
91050,5236,1220,2017-05-08,2017-05-15,2017-05-13
91051,5237,1222,2017-05-08,2017-05-15,2017-05-15
91052,5236,1213,2017-05-08,2017-05-15,2017-05-08
91053,5240,1212,2017-05-09,2017-05-16,NULL
91054,5236,1221,2017-05-09,2017-05-16,2017-05-11
91055,5246,1221,2017-05-09,2017-05-16,2017-05-10
91056,5254,1224,2017-05-10,2017-05-17,2017-05-15
91057,5238,1224,2017-05-10,2017-05-17,2017-05-11
91058,5252,1171,2017-05-10,2017-05-17,2017-05-15
91059,5249,1207,2017-05-10,2017-05-17,NULL
91060,5235,1209,2017-05-15,2017-05-22,2017-05-18
91061,5246,1172,2017-05-15,2017-05-22,NULL
91062,5254,1223,2017-05-15,2017-05-22,2017-05-16
91063,5243,1223,2017-05-15,2017-05-22,2017-05-20
91064,5236,1183,2017-05-17,2017-05-31,2017-05-21
91065,5244,1210,2017-05-17,2017-05-24,2017-05-17
91066,5242,1228,2017-05-19,2017-05-26,NULL
91067,5252,1229,2017-05-24,2017-05-31,NULL
91068,5238,1229,2017-05-24,2017-05-31,NULL
